anno;provincia;settore;qualifica;arrivi_italiani;presenza_italiani;arrivi_stranieri;presenza_stranieri;arrivi_totali;presenza_totali
2012;BI;SETTORE EXTRALBERGHIERO;Bed & Breakfast;2141;4451;785;2066;2926;6517
2018;NO;SETTORE EXTRALBERGHIERO;Bed & Breakfast;5820;11450;5096;12731;10916;24181
2007;TO;SETTORE ALBERGHIERO;Residenza Turistico Alberghiera (R.T.A.);24326;178516;18643;131540;42969;310056
2011;AT;SETTORE EXTRALBERGHIERO;Bed & Breakfast;3055;6248;2408;6614;5463;12862
2013;CN;SETTORE EXTRALBERGHIERO;Agriturismo;26468;54046;29973;86304;56441;140350
2015;BI;SETTORE EXTRALBERGHIERO;Affittacamere;1219;2072;321;582;1540;2654
2015;BI;SETTORE EXTRALBERGHIERO;Casa per ferie;10835;23446;3010;6521;13845;29967
2019;VC;SETTORE EXTRALBERGHIERO;Agriturismo;1691;4228;299;901;1990;5129
2021;CN;SETTORE EXTRALBERGHIERO;Rifugio alpino;3802;7612;1437;1555;5239;9167
2021;NO;SETTORE EXTRALBERGHIERO;Affittacamere;5135;12572;2452;6446;7587;19018
2006;TO;SETTORE EXTRALBERGHIERO;Affittacamere;2011;32366;1199;9678;3210;42044
2006;TO;SETTORE EXTRALBERGHIERO;Casa per ferie;26048;350807;3846;56050;29894;406857
2010;NO;SETTORE EXTRALBERGHIERO;Agriturismo;1235;4796;620;2042;1855;6838
2011;CN;SETTORE ALBERGHIERO;Albergo;246768;661453;138076;346678;384844;1008131
2012;BI;SETTORE EXTRALBERGHIERO;Rifugio alpino;1031;1051;765;797;1796;1848
2017;VC;SETTORE ALBERGHIERO;Albergo;43502;85277;13888;28858;57390;114135
2009;VB;SETTORE ALBERGHIERO;Albergo;128850;326981;254446;765005;383296;1091986
2009;VC;SETTORE EXTRALBERGHIERO;Rifugio alpino;4173;4742;4361;5084;8534;9826
2020;VB;SETTORE EXTRALBERGHIERO;Campeggio;28648;93625;61885;333741;90533;427366
2021;AL;SETTORE EXTRALBERGHIERO;Agriturismi (senza ricettività);0;0;null;null;0;0
2006;CN;SETTORE EXTRALBERGHIERO;Affittacamere;9056;27426;8993;25033;18049;52459
2006;CN;SETTORE EXTRALBERGHIERO;Casa per ferie;10080;53072;687;7393;10767;60465
2011;VB;SETTORE EXTRALBERGHIERO;Agriturismo;1080;2180;344;1069;1424;3249
2012;VC;SETTORE EXTRALBERGHIERO;Affittacamere;3134;11523;1043;3634;4177;15157
2012;VC;SETTORE EXTRALBERGHIERO;Casa per ferie;3478;25949;165;2084;3643;28033
2014;AL;SETTORE EXTRALBERGHIERO;Bed & Breakfast;5809;9099;4326;7789;10135;16888
2017;AT;SETTORE EXTRALBERGHIERO;CAV - Residence;2849;10996;2616;14102;5465;25098
2019;VB;SETTORE EXTRALBERGHIERO;Rifugio alpino;2578;2929;1410;1647;3988;4576
2020;NO;SETTORE EXTRALBERGHIERO;Agriturismi (senza ricettività);0;0;null;null;0;0
2005;CN;SETTORE EXTRALBERGHIERO;Rifugio escursionistico;1518;2644;207;392;1725;3036
2008;AT;SETTORE EXTRALBERGHIERO;Affittacamere;2641;12234;1921;9114;4562;21348
2009;BI;SETTORE ALBERGHIERO;Albergo;35159;96152;13860;40869;49019;137021
2010;TO;SETTORE EXTRALBERGHIERO;Rifugio alpino;3348;4757;468;495;3816;5252
2015;NO;SETTORE ALBERGHIERO;Albergo;193720;319976;129798;293542;323518;613518
2018;AL;SETTORE EXTRALBERGHIERO;Agriturismo;16706;32270;15515;40923;32221;73193
2020;BI;SETTORE EXTRALBERGHIERO;Campeggio;2640;7767;372;488;3012;8255
2008;VB;SETTORE EXTRALBERGHIERO;Campeggio;30157;103925;111502;775469;141659;879394
2011;BI;SETTORE EXTRALBERGHIERO;Agriturismo;745;2679;112;338;857;3017
2013;TO;SETTORE EXTRALBERGHIERO;Affittacamere;13294;39159;3060;9349;16354;48508
2013;TO;SETTORE EXTRALBERGHIERO;Casa per ferie;61873;428339;15552;87370;77425;515709
2017;NO;SETTORE EXTRALBERGHIERO;Agriturismo;4688;8944;4874;9444;9562;18388
2018;CN;SETTORE ALBERGHIERO;Albergo;241876;563663;164593;412123;406469;975786
2019;BI;SETTORE EXTRALBERGHIERO;Rifugio alpino;1040;1095;938;939;1978;2034
2007;CN;SETTORE EXTRALBERGHIERO;Bed & Breakfast;3352;7691;1832;5161;5184;12852
2012;TO;SETTORE EXTRALBERGHIERO;Rifugio escursionistico;968;2090;213;283;1181;2373
2013;VC;SETTORE EXTRALBERGHIERO;Bed & Breakfast;1282;2087;200;478;1482;2565
2014;VB;SETTORE ALBERGHIERO;Residenza Turistico Alberghiera (R.T.A.);3881;18445;12919;51313;16800;69758
2015;AL;SETTORE EXTRALBERGHIERO;Campeggio;480;19398;3107;19869;3587;39267
2015;TO;SETTORE EXTRALBERGHIERO;Ostello;12873;48378;5788;44368;18661;92746
2020;AT;SETTORE ALBERGHIERO;Albergo;20004;38529;8182;20184;28186;58713
2005;NO;SETTORE ALBERGHIERO;Residenza Turistico Alberghiera (R.T.A.);7297;50785;4672;20564;11969;71349
2007;CN;SETTORE EXTRALBERGHIERO;Affittacamere;11200;28545;10265;29666;21465;58211
2007;CN;SETTORE EXTRALBERGHIERO;Casa per ferie;10972;57200;667;7993;11639;65193
2012;VB;SETTORE EXTRALBERGHIERO;Agriturismo;1639;3699;654;2201;2293;5900
2013;VC;SETTORE EXTRALBERGHIERO;Affittacamere;3630;10808;1137;4094;4767;14902
2013;VC;SETTORE EXTRALBERGHIERO;Casa per ferie;2941;19604;121;922;3062;20526
2015;AL;SETTORE EXTRALBERGHIERO;Bed & Breakfast;7805;12671;5981;9982;13786;22653
2018;AT;SETTORE EXTRALBERGHIERO;CAV - Residence;3044;11359;2761;14038;5805;25397
2020;VB;SETTORE EXTRALBERGHIERO;Rifugio alpino;2522;3044;833;922;3355;3966
2021;NO;SETTORE EXTRALBERGHIERO;Agriturismi (senza ricettività);0;0;null;null;0;0
2006;AL;SETTORE EXTRALBERGHIERO;Agriturismo;7445;20015;2632;8576;10077;28591
2008;BI;SETTORE EXTRALBERGHIERO;Campeggio;5010;19058;948;2789;5958;21847
2010;VB;SETTORE EXTRALBERGHIERO;CAV - Residence;4161;18057;18845;137408;23006;155465
2014;NO;SETTORE EXTRALBERGHIERO;Campeggio;23455;98232;19847;103233;43302;201465
2016;CN;SETTORE EXTRALBERGHIERO;Alloggio Vacanze;1904;10610;1193;4085;3097;14695
2020;VB;SETTORE EXTRALBERGHIERO;Rifugio non gestito;0;0;null;null;0;0
2021;BI;SETTORE EXTRALBERGHIERO;Rifugio escursionistico;300;363;63;69;363;432
2009;VC;SETTORE EXTRALBERGHIERO;Bed & Breakfast;566;1522;98;235;664;1757
2010;VB;SETTORE ALBERGHIERO;Residenza Turistico Alberghiera (R.T.A.);4263;23736;12279;55151;16542;78887
2011;AL;SETTORE EXTRALBERGHIERO;Campeggio;1501;48551;3167;18544;4668;67095
2011;TO;SETTORE EXTRALBERGHIERO;Ostello;15941;39692;4927;30683;20868;70375
2016;AT;SETTORE ALBERGHIERO;Albergo;42867;81465;30442;70299;73309;151764
2018;BI;SETTORE EXTRALBERGHIERO;CAV - Residence;637;10917;402;6461;1039;17378
2006;TO;SETTORE EXTRALBERGHIERO;Agriturismo;873;4107;403;1741;1276;5848
2009;CN;SETTORE EXTRALBERGHIERO;Rifugio escursionistico;2703;4984;873;1430;3576;6414
2012;AT;SETTORE EXTRALBERGHIERO;Affittacamere;3060;7373;2916;10212;5976;17585
2013;BI;SETTORE ALBERGHIERO;Albergo;28608;73319;14799;34137;43407;107456
2014;TO;SETTORE EXTRALBERGHIERO;Rifugio alpino;3828;5687;959;1183;4787;6870
2019;NO;SETTORE ALBERGHIERO;Albergo;222807;387071;152875;369435;375682;756506
2007;NO;SETTORE EXTRALBERGHIERO;Campeggio;47548;197578;17632;83985;65180;281563
2015;AT;SETTORE EXTRALBERGHIERO;Agriturismo;15026;29564;14071;43536;29097;73100
2016;VB;SETTORE EXTRALBERGHIERO;Bed & Breakfast;7112;13061;11299;27326;18411;40387
2018;TO;SETTORE ALBERGHIERO;Albergo;1493754;3197837;480134;1255910;1973888;4453747
2007;AL;SETTORE EXTRALBERGHIERO;Agriturismo;7212;18921;3293;10344;10505;29265
2009;BI;SETTORE EXTRALBERGHIERO;Campeggio;5552;19964;1029;2408;6581;22372
2011;VB;SETTORE EXTRALBERGHIERO;CAV - Residence;4117;20827;21778;152175;25895;173002
2015;NO;SETTORE EXTRALBERGHIERO;Campeggio;26607;101423;24526;112157;51133;213580
2017;CN;SETTORE EXTRALBERGHIERO;Alloggio Vacanze;2157;12477;1337;6647;3494;19124
2021;VB;SETTORE EXTRALBERGHIERO;Rifugio non gestito;0;0;null;null;0;0
2009;BI;SETTORE EXTRALBERGHIERO;Bed & Breakfast;1166;2296;401;1167;1567;3463
2009;CN;SETTORE ALBERGHIERO;Residenza Turistico Alberghiera (R.T.A.);7501;28548;1995;7230;9496;35778
2015;NO;SETTORE EXTRALBERGHIERO;Bed & Breakfast;4765;9031;4348;10322;9113;19353
2021;VB;SETTORE EXTRALBERGHIERO;Bivacco fisso;0;0;null;null;0;0
2009;CN;SETTORE EXTRALBERGHIERO;CAV - Residence;2771;27349;2693;16061;5464;43410
2014;TO;SETTORE EXTRALBERGHIERO;Campeggio;122680;621241;5103;15639;127783;636880
2015;VC;SETTORE EXTRALBERGHIERO;CAV - Residence;2310;41511;1557;10347;3867;51858
2019;AL;SETTORE ALBERGHIERO;Albergo;137740;264995;94098;166584;231838;431579
2019;CN;SETTORE EXTRALBERGHIERO;Rifugio non gestito;160;444;12;23;172;467
2005;BI;SETTORE EXTRALBERGHIERO;Campeggio;5244;20110;638;2240;5882;22350
2007;VB;SETTORE EXTRALBERGHIERO;CAV - Residence;2800;14178;16217;185460;19017;199638
2011;NO;SETTORE EXTRALBERGHIERO;Campeggio;37019;168066;19637;110993;56656;279059
2018;BI;SETTORE EXTRALBERGHIERO;Rifugio escursionistico;1131;1873;286;839;1417;2712
2019;AT;SETTORE EXTRALBERGHIERO;Agriturismo;15886;32449;15608;45841;31494;78290
2020;VB;SETTORE EXTRALBERGHIERO;Bed & Breakfast;5655;12022;3645;8834;9300;20856
2007;NO;SETTORE EXTRALBERGHIERO;Agriturismo;426;2412;252;755;678;3167
2008;CN;SETTORE ALBERGHIERO;Albergo;206191;547100;121880;298783;328071;845883
2009;BI;SETTORE EXTRALBERGHIERO;Rifugio alpino;878;905;338;350;1216;1255
2014;VC;SETTORE ALBERGHIERO;Albergo;40319;99453;13447;42022;53766;141475
2019;AL;SETTORE EXTRALBERGHIERO;Affittacamere;6469;12671;4403;8043;10872;20714
2019;AL;SETTORE EXTRALBERGHIERO;Casa per ferie;3118;14646;1479;5245;4597;19891
2019;CN;SETTORE EXTRALBERGHIERO;Campeggio;40796;194174;9452;25800;50248;219974
2009;VB;SETTORE EXTRALBERGHIERO;Campeggio;31932;111729;120215;804075;152147;915804
2012;BI;SETTORE EXTRALBERGHIERO;Agriturismo;889;2803;141;915;1030;3718
2014;TO;SETTORE EXTRALBERGHIERO;Affittacamere;11069;25862;3355;7954;14424;33816
2014;TO;SETTORE EXTRALBERGHIERO;Casa per ferie;65380;494392;13818;87889;79198;582281
2018;NO;SETTORE EXTRALBERGHIERO;Agriturismo;5423;10697;5455;11532;10878;22229
2019;CN;SETTORE ALBERGHIERO;Albergo;281696;631216;166564;383050;448260;1014266
2020;BI;SETTORE EXTRALBERGHIERO;Rifugio alpino;849;851;296;296;1145;1147
2006;CN;SETTORE EXTRALBERGHIERO;CAV - Residence;1269;10425;1460;7038;2729;17463
2011;TO;SETTORE EXTRALBERGHIERO;Campeggio;147354;766559;7334;22155;154688;788714
2012;VC;SETTORE EXTRALBERGHIERO;CAV - Residence;1939;38111;1143;17981;3082;56092
2016;AL;SETTORE ALBERGHIERO;Albergo;151181;312917;92091;179051;243272;491968
2019;CN;SETTORE EXTRALBERGHIERO;Bed & Breakfast;18248;31379;9937;23582;28185;54961
2009;TO;SETTORE EXTRALBERGHIERO;Campeggio;173645;962428;3074;7093;176719;969521
2010;VC;SETTORE EXTRALBERGHIERO;CAV - Residence;1849;36436;954;11819;2803;48255
2014;AL;SETTORE ALBERGHIERO;Albergo;147215;291596;91983;166722;239198;458318
2017;CN;SETTORE EXTRALBERGHIERO;Bed & Breakfast;16814;29301;10510;26591;27324;55892
2020;VC;SETTORE EXTRALBERGHIERO;Rifugio non gestito;0;0;null;null;0;0
2011;TO;SETTORE EXTRALBERGHIERO;CAV - Residence;27341;186969;3505;43508;30846;230477
2011;VB;SETTORE EXTRALBERGHIERO;Affittacamere;3754;9669;3618;8521;7372;18190
2011;VB;SETTORE EXTRALBERGHIERO;Casa per ferie;8632;45115;960;3201;9592;48316
2021;TO;SETTORE EXTRALBERGHIERO;Rifugio non gestito;0;0;null;null;0;0
2005;TO;SETTORE EXTRALBERGHIERO;Affittacamere;3330;62424;680;8790;4010;71214
2005;TO;SETTORE EXTRALBERGHIERO;Casa per ferie;41091;387701;8244;71447;49335;459148
2009;NO;SETTORE EXTRALBERGHIERO;Agriturismo;1265;3394;878;3046;2143;6440
2010;CN;SETTORE ALBERGHIERO;Albergo;235842;605637;131165;336748;367007;942385
2011;BI;SETTORE EXTRALBERGHIERO;Rifugio alpino;1159;1178;702;727;1861;1905
2016;VC;SETTORE ALBERGHIERO;Albergo;39826;79755;13844;29545;53670;109300
2021;AL;SETTORE EXTRALBERGHIERO;Affittacamere;5076;12116;2639;5634;7715;17750
2021;AL;SETTORE EXTRALBERGHIERO;Casa per ferie;2129;9646;957;3937;3086;13583
2021;CN;SETTORE EXTRALBERGHIERO;Campeggio;24537;90845;8059;22721;32596;113566
2006;NO;SETTORE EXTRALBERGHIERO;Campeggio;40936;172037;18757;85461;59693;257498
2014;AT;SETTORE EXTRALBERGHIERO;Agriturismo;13396;28723;11579;40340;24975;69063
2015;VB;SETTORE EXTRALBERGHIERO;Bed & Breakfast;6618;13365;7592;18905;14210;32270
2017;TO;SETTORE ALBERGHIERO;Albergo;1496060;3214296;443062;1151088;1939122;4365384
2012;TO;SETTORE ALBERGHIERO;Residenza Turistico Alberghiera (R.T.A.);102967;354648;19067;84905;122034;439553
2016;AT;SETTORE EXTRALBERGHIERO;Bed & Breakfast;7487;12837;5432;15343;12919;28180
2018;CN;SETTORE EXTRALBERGHIERO;Agriturismo;36345;63505;37715;103588;74060;167093
2020;BI;SETTORE EXTRALBERGHIERO;Affittacamere;1210;2563;190;836;1400;3399
2020;BI;SETTORE EXTRALBERGHIERO;Casa per ferie;6065;14409;440;674;6505;15083
2009;AT;SETTORE ALBERGHIERO;Albergo;36164;70179;25578;58281;61742;128460
2011;BI;SETTORE EXTRALBERGHIERO;CAV - Residence;1021;19254;805;12657;1826;31911
2017;NO;SETTORE EXTRALBERGHIERO;CAV - Residence;3161;15280;4684;21858;7845;37138
2019;VB;SETTORE EXTRALBERGHIERO;Agriturismi (senza ricettività);0;0;null;null;0;0
2020;AL;SETTORE EXTRALBERGHIERO;Ostello;992;2867;103;184;1095;3051
2005;BI;SETTORE EXTRALBERGHIERO;Affittacamere;724;3399;172;660;896;4059
2009;VC;SETTORE EXTRALBERGHIERO;Agriturismo;827;2326;116;289;943;2615
2011;CN;SETTORE EXTRALBERGHIERO;Rifugio alpino;6471;18957;1822;2059;8293;21016
2011;NO;SETTORE EXTRALBERGHIERO;Affittacamere;1638;8881;1290;4779;2928;13660
2017;VB;SETTORE ALBERGHIERO;Albergo;170582;387632;404384;1160898;574966;1548530
2017;VC;SETTORE EXTRALBERGHIERO;Rifugio alpino;2359;3578;3464;4036;5823;7614
2013;VB;SETTORE EXTRALBERGHIERO;Campeggio;21237;86523;98803;630935;120040;717458
2016;BI;SETTORE EXTRALBERGHIERO;Agriturismo;1814;3928;705;2527;2519;6455
2018;TO;SETTORE EXTRALBERGHIERO;Affittacamere;20807;60942;9955;24325;30762;85267
2018;TO;SETTORE EXTRALBERGHIERO;Casa per ferie;88405;948815;35490;273835;123895;1222650
2007;TO;SETTORE EXTRALBERGHIERO;Campeggio;62422;205995;3988;9746;66410;215741
2008;VC;SETTORE EXTRALBERGHIERO;CAV - Residence;1753;30695;1263;16454;3016;47149
2012;AL;SETTORE ALBERGHIERO;Albergo;170921;339567;90892;173135;261813;512702
2015;CN;SETTORE EXTRALBERGHIERO;Bed & Breakfast;12112;22646;7481;19845;19593;42491
2020;TO;SETTORE EXTRALBERGHIERO;Rifugio escursionistico;703;1181;212;268;915;1449
2021;VC;SETTORE EXTRALBERGHIERO;Bed & Breakfast;1148;2739;306;992;1454;3731
2007;AT;SETTORE EXTRALBERGHIERO;CAV - Residence;474;2259;679;3777;1153;6036
2009;VB;SETTORE EXTRALBERGHIERO;Rifugio alpino;95;103;153;223;248;326
2016;TO;SETTORE ALBERGHIERO;Residenza Turistico Alberghiera (R.T.A.);66177;268140;43806;175225;109983;443365
2020;AT;SETTORE EXTRALBERGHIERO;Bed & Breakfast;3218;6934;1277;3200;4495;10134
2006;VC;SETTORE EXTRALBERGHIERO;Bed & Breakfast;365;837;128;295;493;1132
2007;VB;SETTORE ALBERGHIERO;Residenza Turistico Alberghiera (R.T.A.);4477;23746;12262;55599;16739;79345
2008;TO;SETTORE EXTRALBERGHIERO;Ostello;10167;27497;6759;29473;16926;56970
2013;AT;SETTORE ALBERGHIERO;Albergo;32619;63058;26228;62720;58847;125778
2015;BI;SETTORE EXTRALBERGHIERO;CAV - Residence;1515;20960;996;11415;2511;32375
2021;NO;SETTORE EXTRALBERGHIERO;CAV - Residence;4039;16620;3765;23672;7804;40292
2013;BI;SETTORE EXTRALBERGHIERO;Bed & Breakfast;2042;4384;995;2451;3037;6835
2019;NO;SETTORE EXTRALBERGHIERO;Bed & Breakfast;5100;9677;5080;12584;10180;22261
2005;AT;SETTORE EXTRALBERGHIERO;Affittacamere;1761;7297;1721;6539;3482;13836
2006;BI;SETTORE ALBERGHIERO;Albergo;35334;97579;15800;43141;51134;140720
2007;TO;SETTORE EXTRALBERGHIERO;Rifugio alpino;3698;5781;240;240;3938;6021
2012;NO;SETTORE ALBERGHIERO;Albergo;182395;303582;117801;275855;300196;579437
2015;AL;SETTORE EXTRALBERGHIERO;Agriturismo;15667;29545;11704;28776;27371;58321
2017;BI;SETTORE EXTRALBERGHIERO;Campeggio;5274;18011;1357;2449;6631;20460
2019;VB;SETTORE EXTRALBERGHIERO;CAV - Residence;6681;29689;30049;157686;36730;187375
2009;TO;SETTORE EXTRALBERGHIERO;Bed & Breakfast;6193;15461;1460;4000;7653;19461
2012;AL;SETTORE EXTRALBERGHIERO;CAV - Residence;2831;8312;1341;4338;4172;12650
2015;NO;SETTORE ALBERGHIERO;Residenza Turistico Alberghiera (R.T.A.);2819;17449;7230;54334;10049;71783
2017;CN;SETTORE EXTRALBERGHIERO;Affittacamere;29136;52001;29173;75259;58309;127260
2017;CN;SETTORE EXTRALBERGHIERO;Casa per ferie;10817;58990;1233;7276;12050;66266
2015;BI;SETTORE EXTRALBERGHIERO;Bed & Breakfast;3826;6875;1626;3379;5452;10254
2015;TO;SETTORE EXTRALBERGHIERO;Alloggio Vacanze;310;1504;103;715;413;2219
2021;NO;SETTORE EXTRALBERGHIERO;Bed & Breakfast;3769;8597;2523;8000;6292;16597
2007;AT;SETTORE EXTRALBERGHIERO;Affittacamere;2434;12214;1878;6943;4312;19157
2008;BI;SETTORE ALBERGHIERO;Albergo;36902;101542;15513;41243;52415;142785
2009;TO;SETTORE EXTRALBERGHIERO;Rifugio alpino;3297;5746;191;565;3488;6311
2014;NO;SETTORE ALBERGHIERO;Albergo;171120;306082;119032;289365;290152;595447
2017;AL;SETTORE EXTRALBERGHIERO;Agriturismo;16104;30140;15203;37656;31307;67796
2019;BI;SETTORE EXTRALBERGHIERO;Campeggio;2664;14982;721;1076;3385;16058
2021;VB;SETTORE EXTRALBERGHIERO;CAV - Residence;7854;35702;18568;103625;26422;139327
2007;BI;SETTORE EXTRALBERGHIERO;Agriturismo;633;2674;209;562;842;3236
2009;TO;SETTORE EXTRALBERGHIERO;Affittacamere;6779;42475;1094;6241;7873;48716
2009;TO;SETTORE EXTRALBERGHIERO;Casa per ferie;72363;455913;10931;63564;83294;519477
2013;NO;SETTORE EXTRALBERGHIERO;Agriturismo;2818;8071;2842;7747;5660;15818
2014;CN;SETTORE ALBERGHIERO;Albergo;229977;586256;149493;366772;379470;953028
2015;BI;SETTORE EXTRALBERGHIERO;Rifugio alpino;1040;1102;774;774;1814;1876
2020;VB;SETTORE EXTRALBERGHIERO;Ostello;740;1686;560;1148;1300;2834
2020;VC;SETTORE ALBERGHIERO;Albergo;27353;72596;5081;13082;32434;85678
2021;AT;SETTORE EXTRALBERGHIERO;Agriturismi (senza ricettività);0;0;null;null;0;0
2005;TO;SETTORE EXTRALBERGHIERO;Agriturismo;979;6477;139;441;1118;6918
2008;CN;SETTORE EXTRALBERGHIERO;Rifugio escursionistico;2048;5270;844;1302;2892;6572
2011;AT;SETTORE EXTRALBERGHIERO;Affittacamere;2683;10613;2407;6759;5090;17372
2012;BI;SETTORE ALBERGHIERO;Albergo;32458;82567;14943;34142;47401;116709
2013;TO;SETTORE EXTRALBERGHIERO;Rifugio alpino;3448;4589;946;1018;4394;5607
2018;NO;SETTORE ALBERGHIERO;Albergo;193082;347183;158352;364818;351434;712001
2021;AL;SETTORE EXTRALBERGHIERO;Agriturismo;16017;38303;9874;32507;25891;70810
2010;NO;SETTORE EXTRALBERGHIERO;Bed & Breakfast;1581;3034;1321;3606;2902;6640
2019;TO;SETTORE EXTRALBERGHIERO;CAV - Residence;65499;339326;32345;115801;97844;455127
2019;VB;SETTORE EXTRALBERGHIERO;Affittacamere;7995;16248;8506;18342;16501;34590
2019;VB;SETTORE EXTRALBERGHIERO;Casa per ferie;12227;45929;4992;17205;17219;63134
2020;AL;SETTORE EXTRALBERGHIERO;Alloggio Vacanze;367;991;301;1717;668;2708
2020;CN;SETTORE EXTRALBERGHIERO;Agriturismi (senza ricettività);0;0;null;null;0;0
2020;TO;SETTORE EXTRALBERGHIERO;Country house;338;752;82;214;420;966
2008;BI;SETTORE EXTRALBERGHIERO;Bed & Breakfast;1262;2826;312;798;1574;3624
2008;CN;SETTORE ALBERGHIERO;Residenza Turistico Alberghiera (R.T.A.);3334;16344;1067;4978;4401;21322
2014;NO;SETTORE EXTRALBERGHIERO;Bed & Breakfast;3082;5947;2850;7362;5932;13309
2020;VB;SETTORE EXTRALBERGHIERO;Bivacco fisso;0;0;null;null;0;0
2007;NO;SETTORE ALBERGHIERO;Albergo;153316;303426;126813;283313;280129;586739
2010;AL;SETTORE EXTRALBERGHIERO;Agriturismo;8988;21873;4623;16736;13611;38609
2012;BI;SETTORE EXTRALBERGHIERO;Campeggio;5067;16859;1247;2438;6314;19297
2014;VB;SETTORE EXTRALBERGHIERO;CAV - Residence;3142;31356;23107;146896;26249;178252
2018;NO;SETTORE EXTRALBERGHIERO;Campeggio;32939;123980;33521;154393;66460;278373
2020;CN;SETTORE EXTRALBERGHIERO;Alloggio Vacanze;2038;11391;967;4874;3005;16265
2008;TO;SETTORE EXTRALBERGHIERO;CAV - Residence;27872;206275;5732;55808;33604;262083
2008;VB;SETTORE EXTRALBERGHIERO;Affittacamere;3380;14322;2692;7531;6072;21853
2008;VB;SETTORE EXTRALBERGHIERO;Casa per ferie;7430;36627;833;3099;8263;39726
2021;TO;SETTORE EXTRALBERGHIERO;Bed & Breakfast;9922;23877;3583;6840;13505;30717
2006;NO;SETTORE EXTRALBERGHIERO;Agriturismo;418;1118;247;907;665;2025
2007;CN;SETTORE ALBERGHIERO;Albergo;212330;623168;119937;298523;332267;921691
2008;BI;SETTORE EXTRALBERGHIERO;Rifugio alpino;686;711;288;288;974;999
2013;VC;SETTORE ALBERGHIERO;Albergo;39006;104011;11570;31751;50576;135762
2018;AL;SETTORE EXTRALBERGHIERO;Affittacamere;6737;13088;4114;7813;10851;20901
2018;AL;SETTORE EXTRALBERGHIERO;Casa per ferie;2506;13689;934;3672;3440;17361
2018;CN;SETTORE EXTRALBERGHIERO;Campeggio;67039;222338;13197;40108;80236;262446
2006;TO;SETTORE EXTRALBERGHIERO;Bed & Breakfast;2838;9133;1189;5660;4027;14793
2009;AL;SETTORE EXTRALBERGHIERO;CAV - Residence;1616;10701;426;2977;2042;13678
2012;NO;SETTORE ALBERGHIERO;Residenza Turistico Alberghiera (R.T.A.);2326;17427;7082;42210;9408;59637
2014;CN;SETTORE EXTRALBERGHIERO;Affittacamere;19113;35538;20501;56058;39614;91596
2014;CN;SETTORE EXTRALBERGHIERO;Casa per ferie;13189;73724;1835;7440;15024;81164
2019;VB;SETTORE EXTRALBERGHIERO;Agriturismo;2386;4935;2197;6341;4583;11276
2020;VC;SETTORE EXTRALBERGHIERO;Affittacamere;2748;6618;686;1723;3434;8341
2020;VC;SETTORE EXTRALBERGHIERO;Casa per ferie;1230;3673;301;1270;1531;4943
2005;VB;SETTORE ALBERGHIERO;Albergo;132500;324695;277642;828758;410142;1153453
2005;VC;SETTORE EXTRALBERGHIERO;Rifugio alpino;1458;1516;2737;2753;4195;4269
2016;VB;SETTORE EXTRALBERGHIERO;Campeggio;20924;83142;108426;618310;129350;701452
2019;BI;SETTORE EXTRALBERGHIERO;Agriturismo;2172;4076;994;2140;3166;6216
2021;TO;SETTORE EXTRALBERGHIERO;Affittacamere;11742;30813;4668;11144;16410;41957
2021;TO;SETTORE EXTRALBERGHIERO;Casa per ferie;31121;456212;3768;99321;34889;555533
2005;CN;SETTORE EXTRALBERGHIERO;CAV - Residence;1283;7306;1624;5797;2907;13103
2010;TO;SETTORE EXTRALBERGHIERO;Campeggio;160062;731749;3349;7923;163411;739672
2011;VC;SETTORE EXTRALBERGHIERO;CAV - Residence;1536;35325;1066;14517;2602;49842
2015;AL;SETTORE ALBERGHIERO;Albergo;142911;294152;93619;174522;236530;468674
2018;CN;SETTORE EXTRALBERGHIERO;Bed & Breakfast;16649;29224;10015;25628;26664;54852
2021;VC;SETTORE EXTRALBERGHIERO;Rifugio non gestito;0;0;null;null;0;0
2005;VC;SETTORE EXTRALBERGHIERO;Affittacamere;932;6425;298;2767;1230;9192
2005;VC;SETTORE EXTRALBERGHIERO;Casa per ferie;970;22296;159;1440;1129;23736
2007;AL;SETTORE EXTRALBERGHIERO;Bed & Breakfast;2456;5433;1236;2978;3692;8411
2010;AT;SETTORE EXTRALBERGHIERO;CAV - Residence;522;4004;692;4322;1214;8326
2012;VB;SETTORE EXTRALBERGHIERO;Rifugio alpino;20;20;72;72;92;92
2019;TO;SETTORE ALBERGHIERO;Residenza Turistico Alberghiera (R.T.A.);81256;274907;40539;156686;121795;431593
2008;AT;SETTORE EXTRALBERGHIERO;Bed & Breakfast;2491;5202;1994;6347;4485;11549
2010;CN;SETTORE EXTRALBERGHIERO;Agriturismo;21026;52234;21382;62125;42408;114359
2012;BI;SETTORE EXTRALBERGHIERO;Affittacamere;1244;1975;460;848;1704;2823
2012;BI;SETTORE EXTRALBERGHIERO;Casa per ferie;11862;27996;1848;4138;13710;32134
2016;VC;SETTORE EXTRALBERGHIERO;Agriturismo;2251;5637;458;1181;2709;6818
2018;CN;SETTORE EXTRALBERGHIERO;Rifugio alpino;6722;20513;2398;4036;9120;24549
2018;NO;SETTORE EXTRALBERGHIERO;Affittacamere;7375;20128;5511;13824;12886;33952
2018;NO;SETTORE EXTRALBERGHIERO;Casa per ferie;2780;13880;1033;4951;3813;18831
2020;TO;SETTORE EXTRALBERGHIERO;Agriturismi (senza ricettività);0;0;null;null;0;0
