anno;provincia;settore;qualifica;arrivi_italiani;presenza_italiani;arrivi_stranieri;presenza_stranieri;arrivi_totali;presenza_totali
2020;CN;SETTORE EXTRALBERGHIERO;Casa per ferie;3075;18969;260;585;3335;19554
2009;NO;SETTORE EXTRALBERGHIERO;Bed & Breakfast;1105;2895;810;2030;1915;4925
2018;TO;SETTORE EXTRALBERGHIERO;CAV - Residence;54839;278519;30367;154353;85206;432872
2018;VB;SETTORE EXTRALBERGHIERO;Affittacamere;7509;16333;7757;19242;15266;35575
2018;VB;SETTORE EXTRALBERGHIERO;Casa per ferie;11742;49634;4195;16741;15937;66375
2019;AL;SETTORE EXTRALBERGHIERO;Alloggio Vacanze;364;555;552;2552;916;3107
2019;CN;SETTORE EXTRALBERGHIERO;Agriturismi (senza ricettività);0;0;0;0;0;0
2011;TO;SETTORE EXTRALBERGHIERO;Bed & Breakfast;6533;16964;1258;3470;7791;20434
2014;AL;SETTORE EXTRALBERGHIERO;CAV - Residence;6262;18739;4005;12220;10267;30959
2015;AT;SETTORE EXTRALBERGHIERO;Alloggio Vacanze;502;1283;400;1138;902;2421
2017;NO;SETTORE ALBERGHIERO;Residenza Turistico Alberghiera (R.T.A.);1657;9905;4621;34577;6278;44482
2019;CN;SETTORE EXTRALBERGHIERO;Affittacamere;34937;58473;30260;70050;65197;128523
2019;CN;SETTORE EXTRALBERGHIERO;Casa per ferie;11932;51524;1116;3336;13048;54860
2005;AT;SETTORE EXTRALBERGHIERO;Agriturismo;8004;21066;6740;21644;14744;42710
2006;VB;SETTORE EXTRALBERGHIERO;Bed & Breakfast;882;1636;730;2056;1612;3692
2008;TO;SETTORE ALBERGHIERO;Albergo;1000520;2634035;209607;656966;1210127;3291001
2014;CN;SETTORE EXTRALBERGHIERO;CAV - Residence;9433;58774;6536;37129;15969;95903
2019;TO;SETTORE EXTRALBERGHIERO;Campeggio;183868;751395;7463;20924;191331;772319
2020;VC;SETTORE EXTRALBERGHIERO;CAV - Residence;6967;36086;1546;8788;8513;44874
2016;TO;SETTORE EXTRALBERGHIERO;Bed & Breakfast;19987;42000;6832;14773;26819;56773
2019;AL;SETTORE EXTRALBERGHIERO;CAV - Residence;8241;23068;4714;13670;12955;36738
2020;AT;SETTORE EXTRALBERGHIERO;Alloggio Vacanze;183;419;271;997;454;1416
2010;VB;SETTORE EXTRALBERGHIERO;Campeggio;29372;109003;122779;822443;152151;931446
2013;BI;SETTORE EXTRALBERGHIERO;Agriturismo;1018;3134;264;1337;1282;4471
2015;TO;SETTORE EXTRALBERGHIERO;Affittacamere;11790;36765;5007;13426;16797;50191
2015;TO;SETTORE EXTRALBERGHIERO;Casa per ferie;73138;621361;10103;96373;83241;717734
2019;NO;SETTORE EXTRALBERGHIERO;Agriturismo;4937;8605;4736;9530;9673;18135
2020;CN;SETTORE ALBERGHIERO;Albergo;158941;361847;48393;112197;207334;474044
2021;BI;SETTORE EXTRALBERGHIERO;Rifugio alpino;1220;1220;518;524;1738;1744
2008;VC;SETTORE ALBERGHIERO;Albergo;39189;131939;11480;31149;50669;163088
2013;AL;SETTORE EXTRALBERGHIERO;Affittacamere;5754;13437;2991;7140;8745;20577
2013;AL;SETTORE EXTRALBERGHIERO;Casa per ferie;3375;14986;333;1410;3708;16396
2013;CN;SETTORE EXTRALBERGHIERO;Campeggio;31727;136691;8415;31382;40142;168073
2019;VC;SETTORE EXTRALBERGHIERO;Campeggio;4770;19292;751;2380;5521;21672
2007;NO;SETTORE ALBERGHIERO;Residenza Turistico Alberghiera (R.T.A.);9198;64660;7719;48131;16917;112791
2009;CN;SETTORE EXTRALBERGHIERO;Affittacamere;15942;38019;14890;42593;30832;80612
